#tail	head	edge_weight	edge_type
Q5R372	O95619	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	Q96P16	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	O60341	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	Q9UID3	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	P06400	2.804190e-01	MI:0018 (two hybrid)
Q5R372	O00327	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	Q9Y3P9	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
Q5R372	P61244	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	O15516	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	Q16643	2.804190e-01	MI:0018 (two hybrid)
Q99967	Q15717	3.111330e-01	MI:0004 (affinity chromatography technology)
Q99967	P05549	7.500000e-01	MI:0018 (two hybrid)|MI:0047 (far western blotting)|MI:0096 (pull down)|SPIKE
Q99967	P28482	5.687820e-01	MI:0415 (enzymatic study)
Q99967	Q09472	7.500000e-01	MI:0090 (protein complementation assay)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0018 (two hybrid)|SPIKE|MI:0096 (pull down)
Q99967	P41235	7.500000e-01	MI:0018 (two hybrid)|MI:0416 (fluorescence microscopy)|MI:0096 (pull down)|SPIKE
Q99967	Q15796	3.111330e-01	MI:0004 (affinity chromatography technology)
Q99967	Q9UKA1	7.500000e-01	MI:0018 (two hybrid)|MI:0090 (protein complementation assay)|MI:0096 (pull down)
Q99967	Q92481	7.500000e-01	MI:0047 (far western blotting)|MI:0096 (pull down)|SPIKE
Q99967	Q92793	3.111330e-01	MI:0004 (affinity chromatography technology)
Q99967	P20226	4.922930e-01	MI:0096 (pull down)
Q99967	Q92754	7.500000e-01	MI:0018 (two hybrid)|MI:0047 (far western blotting)|MI:0096 (pull down)|SPIKE
Q99967	P84022	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q9UHV2	P42771	7.500000e-01	MI:0018 (two hybrid)|MI:0096 (pull down)|SPIKE
Q9UHV2	P62877	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q9H6Z9	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q92793	7.500000e-01	MI:0018 (two hybrid)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q9UHV2	P61024	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q9UHV2	P11802	7.500000e-01	MI:0096 (pull down)|SPIKE
Q9UHV2	P04792	4.082400e-01	MI:0018 (two hybrid)|MI:0397 (two hybrid array)
Q9UHV2	P51692	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q09472	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	O94864	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q9UHV2	P30153	3.111330e-01	MI:0004 (affinity chromatography technology)
Q9UHV2	P30279	4.922930e-01	MI:0096 (pull down)
Q9UHV2	Q14764	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q8N726	7.500000e-01	MI:0018 (two hybrid)|MI:0096 (pull down)
Q9UHV2	O00206	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q92831	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q9UHV2	Q8WTS6	7.500000e-01	MI:0018 (two hybrid)|MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
