======================================================================
  NEIGHBOR REPORT
======================================================================
  Protein            : P04637
  Total degree       : 2183
  In-degree          : 1076  (proteins pointing TO this node)
  Out-degree         : 1107 (proteins this node points TO)
======================================================================

OUTGOING (successors, 1107 proteins)
----------------------------------------------------------------------
  Neighbor                Confidence   Weight(1/conf)  Method
  --------------------  ------------  ---------------  --------------------
  P0DMV9                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0813 (proximity ligation assay)|MI:0004 (affinity chromatography technology)
  Q9NPI1                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0004 (affinity chromatography technology)|MI:0663 (confocal microscopy)|MI:0007 (anti tag coimmunoprecipitation)|MI:0018 (two hybrid)|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  O00629                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P13693                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0398 (two hybrid pooling approach)|MI:0004 (affinity chromatography technology)
  Q99608                      0.7500           1.3333  MI:0018 (two hybrid)|SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q9NPP4                      0.7500           1.3333  MI:0413 (electrophoretic mobility shift assay)|SPIKE
  Q86T24                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0004 (affinity chromatography technology)
  P48643                      0.7500           1.3333  MI:0018 (two hybrid)|SPIKE|MI:0007 (anti tag coimmunoprecipitation)|MI:0398 (two hybrid pooling approach)|MI:0004 (affinity chromatography technology)
  Q15572                      0.7500           1.3333  MI:0096 (pull down)|SPIKE
  P15559                      0.7500           1.3333  MI:0019 (coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  Q15788                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0096 (pull down)
  Q05397                      0.7500           1.3333  MI:0813 (proximity ligation assay)|MI:0004 (affinity chromatography technology)|MI:0663 (confocal microscopy)|MI:0428 (imaging technique)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  Q99547                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  P51959                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  O95155                      0.7500           1.3333  MI:0401 (biochemical)|MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O95257                      0.7500           1.3333  KEGG activation|SPIKE
  P21673                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  O75293                      0.7500           1.3333  KEGG activation|SPIKE
  Q9NQC7                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q99873                      0.7500           1.3333  MI:0096 (pull down)|SPIKE
  P62258                      0.7500           1.3333  MI:0053 (fluorescence polarization spectroscopy)|MI:0004 (affinity chromatography technology)
  Q9H4L4                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0004 (affinity chromatography technology)
  Q14061                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  Q9UBB9                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P10828                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE
  P10275                      0.7500           1.3333  MI:0018 (two hybrid)|SPIKE
  P18887                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  Q15291                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q9UN86                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q86Y07                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)
  P67809                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  P22736                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0397 (two hybrid array)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|SPIKE
  Q16363                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0428 (imaging technique)|MI:0813 (proximity ligation assay)|MI:0398 (two hybrid pooling approach)|SPIKE
  P43356                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P63165                      0.7500           1.3333  KEGG group-entry|MI:0018 (two hybrid)|MI:0808 (comigration in sds page)|SPIKE|KEGG binding/association|MI:0096 (pull down)
  Q8NHY2                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  Q96M61                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0397 (two hybrid array)|MI:0398 (two hybrid pooling approach)|SPIKE
  Q9BWC9                      0.7500           1.3333  MI:0398 (two hybrid pooling approach)|MI:0004 (affinity chromatography technology)|MI:0416 (fluorescence microscopy)|MI:0007 (anti tag coimmunoprecipitation)|MI:0018 (two hybrid)|SPIKE
  Q92831                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)|MI:0018 (two hybrid)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  P17931                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|SPIKE
  P17936                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|SPIKE
  P68104                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE
  Q16665                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  P14373                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P62195                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O14980                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|SPIKE
  Q96PU4                      0.7500           1.3333  MI:0047 (far western blotting)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P25445                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|SPIKE
  Q96BR9                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P61978                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q9BX70                      0.7500           1.3333  MI:0018 (two hybrid)|SPIKE|MI:0007 (anti tag coimmunoprecipitation)|MI:0398 (two hybrid pooling approach)|MI:0004 (affinity chromatography technology)
  Q14191                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0416 (fluorescence microscopy)|MI:0047 (far western blotting)|SPIKE|MI:0411 (enzyme linked immunosorbent assay)|MI:0096 (pull down)
  O95071                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P60484                      0.7500           1.3333  SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q9H160                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE
  P06400                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  Q8TBK6                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  Q13568                      0.7500           1.3333  MI:0412 (electrophoretic mobility supershift assay)|SPIKE
  P61088                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P61086                      0.7500           1.3333  SPIKE|MI:0090 (protein complementation assay)|MI:0004 (affinity chromatography technology)
  P18074                      0.7500           1.3333  MI:0047 (far western blotting)|MI:0096 (pull down)|SPIKE
  Q9BUJ2                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|SPIKE
  P45984                      0.7500           1.3333  MI:0423 (in-gel kinase assay)|MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)|SPIKE
  Q15181                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  P17844                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0004 (affinity chromatography technology)
  Q06330                      0.7500           1.3333  MI:1247 (microscale thermophoresis)|MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)
